"from","to","weight","SE","P","ran_SD"
"PIJN","PIJN",0.375,0.055,0,0.159
"PIJN","MOE",0.084,0.056,0.129,0.18
"PIJN","STRESS",0.036,0.045,0.427,0.107
"PIJN","ENMO_log",-0.025,0.054,0.639,0
"MOE","PIJN",0.004,0.051,0.94,0.13
"MOE","MOE",0.239,0.048,0,0.117
"MOE","STRESS",-0.099,0.039,0.011,0
"MOE","ENMO_log",-0.027,0.054,0.617,0
"STRESS","PIJN",0.117,0.048,0.015,0.123
"STRESS","MOE",0.115,0.049,0.02,0.146
"STRESS","STRESS",0.367,0.046,0,0.13
"STRESS","ENMO_log",0.035,0.06,0.556,0.142
"ENMO_log","PIJN",-0.053,0.056,0.341,0.237
"ENMO_log","MOE",-0.118,0.059,0.047,0.267
"ENMO_log","STRESS",0.03,0.032,0.349,0
"ENMO_log","ENMO_log",0.164,0.059,0.006,0.207
