"from","to","weight_all","P_all","weight_movement","P_movement","abs_diff","sign_flip"
"STRESS","MOE",0.052,0.105,0.115,0.02,0.063,FALSE
"MOE","MOE",0.285,0,0.239,0,0.046,FALSE
"STRESS","PIJN",0.081,0.027,0.117,0.015,0.036,FALSE
"STRESS","STRESS",0.333,0,0.367,0,0.034,FALSE
"MOE","ENMO_log",-0.059,0.235,-0.027,0.617,0.032,FALSE
"STRESS","ENMO_log",0.065,0.183,0.035,0.556,0.03,FALSE
"MOE","STRESS",-0.073,0.066,-0.099,0.011,0.026,FALSE
"PIJN","ENMO_log",-0.004,0.936,-0.025,0.639,0.021,FALSE
"PIJN","MOE",0.066,0.183,0.084,0.129,0.018,FALSE
"ENMO_log","MOE",-0.131,0.015,-0.118,0.047,0.013,FALSE
"PIJN","PIJN",0.364,0,0.375,0,0.011,FALSE
"MOE","PIJN",0.013,0.769,0.004,0.94,0.009,FALSE
"ENMO_log","ENMO_log",0.159,0.004,0.164,0.006,0.005,FALSE
"ENMO_log","PIJN",-0.057,0.281,-0.053,0.341,0.004,FALSE
"PIJN","STRESS",0.034,0.527,0.036,0.427,0.002,FALSE
"ENMO_log","STRESS",0.029,0.332,0.03,0.349,0.001,FALSE
