"node1","node2","pcor","P"
"MOE","PIJN",0.341,0
"STRESS","PIJN",0.18,0
"STRESS","MOE",0.093,0.02
"ENMO_log","PIJN",-0.024,0.437
"ENMO_log","MOE",-0.007,0.825
"ENMO_log","STRESS",0.05,0.171
"EIGENEFF","PIJN",0.011,0.705
"EIGENEFF","MOE",-0.046,0.169
"EIGENEFF","STRESS",-0.039,0.264
"EIGENEFF","ENMO_log",0.008,0.779
"INTENTIE","PIJN",-0.045,0.165
"INTENTIE","MOE",0.053,0.233
"INTENTIE","STRESS",-0.028,0.36
"INTENTIE","ENMO_log",0.224,0
"INTENTIE","EIGENEFF",0.521,0
"UITKOMSTVERW","PIJN",0.131,0
"UITKOMSTVERW","MOE",0.138,0.003
"UITKOMSTVERW","STRESS",-0.015,0.579
"UITKOMSTVERW","ENMO_log",-0.034,0.3
"UITKOMSTVERW","EIGENEFF",-0.108,0.006
"UITKOMSTVERW","INTENTIE",-0.173,0
